Comparison of Top 50 Tokens from File A in File B
------------------------------------------------------------------------------------------
Encoded ID | Decoded Token        | Freq A     | Avg Dist A | Freq B     | Avg Dist B
------------------------------------------------------------------------------------------
2345       | unk                  | 5786       | 194.89     | 647        | 1058.59   
507        | also                 | 2239       | 512.47     | 1482       | 461.56    
514        | first                | 2100       | 542.77     | 770        | 888.91    
349        | th                   | 1668       | 686.19     | 1018       | 672.82    
291        | ing                  | 1536       | 747.94     | 1924       | 355.88    
268        | ed                   | 1377       | 833.81     | 1193       | 574.69    
703        | film                 | 1275       | 901.56     | 151        | 3240.99   
626        | lesnar               | 1160       | 43.35      | 117        | 231.17    
307        | st                   | 1133       | 1012.17    | 601        | 1136.53   
264        | er                   | 1018       | 1126.57    | 1032       | 664.16    
287        | al                   | 989        | 1159.05    | 880        | 777.20    
818        | city                 | 943        | 1187.35    | 174        | 3874.50   
277        | es                   | 881        | 1302.03    | 989        | 692.54    
980        | division             | 864        | 1227.16    | 82         | 7479.37   
801        | british              | 835        | 1333.35    | 283        | 2344.07   
896        | united               | 818        | 1399.51    | 139        | 4946.36   
830        | used                 | 795        | 1431.37    | 404        | 1684.70   
279        | en                   | 792        | 1450.15    | 775        | 884.33    
557        | two                  | 791        | 1449.18    | 1278       | 535.84    
701        | war                  | 786        | 1438.43    | 348        | 1970.67   
297        | ic                   | 784        | 1463.13    | 622        | 1101.14   
405        | ist                  | 747        | 1537.64    | 320        | 2136.87   
344        | us                   | 701        | 1633.49    | 509        | 1338.68   
786        | north                | 700        | 1616.00    | 241        | 2846.96   
584        | one                  | 697        | 1638.33    | 1730       | 395.91    
766        | manila               | 697        | 1218.19    | 137        | 4198.90   
851        | tropical             | 696        | 1359.59    | 130        | 4370.90   
816        | season               | 685        | 1648.03    | 219        | 3096.57   
358        | ation                | 651        | 1760.39    | 706        | 970.92    
500        | ia                   | 645        | 1781.10    | 527        | 1285.53   
334        | el                   | 640        | 1796.35    | 409        | 1673.46   
284        | ar                   | 631        | 1817.30    | 578        | 1181.31   
856        | french               | 621        | 1757.58    | 157        | 4162.62   
1565       | battalion            | 616        | 1643.53    | 56         | 10736.04  
1331       | infantry             | 586        | 1734.29    | 28         | 17909.70  
991        | world                | 580        | 1963.04    | 359        | 1895.70   
873        | storm                | 569        | 1663.91    | 139        | 4702.77   
1016       | ny                   | 569        | 1311.39    | 63         | 10585.95  
272        | nd                   | 566        | 1997.24    | 160        | 4289.94   
669        | nero                 | 564        | 598.23     | 108        | 1852.57   
937        | september            | 558        | 2022.57    | 364        | 1881.99   
327        | et                   | 554        | 2063.10    | 400        | 1712.15   
648        | time                 | 551        | 2076.23    | 995        | 687.53    
301        | le                   | 548        | 2097.21    | 490        | 1399.61   
864        | bintulu              | 547        | 58.21      | 54         | 338.92    
1152       | philippines          | 539        | 1824.83    | 82         | 7053.54   
1339       | navy                 | 532        | 2015.70    | 91         | 7100.53   
1447       | states               | 522        | 2164.09    | 82         | 8186.53   
806        | new                  | 520        | 2171.96    | 305        | 2247.07   
850        | second               | 509        | 2229.02    | 265        | 2557.27   
